iso_code,country,updated,confirmed,deaths
BEL,Belgium,04/15/20,530,254
BEL,Belgium,04/16/20,2454,283
BEL,Belgium,04/17/20,1236,417
BEL,Belgium,04/18/20,1329,306
BEL,Belgium,04/19/20,1045,290
BEL,Belgium,04/20/20,1313,230
BEL,Belgium,04/21/20,1487,145
BEL,Belgium,04/22/20,973,170
BEL,Belgium,04/23/20,933,264
BEL,Belgium,04/24/20,908,228
BEL,Belgium,04/25/20,1496,189
BEL,Belgium,04/26/20,1032,238
BEN,Benin,04/01/20,2,0
BEN,Benin,04/02/20,5,0
BEN,Benin,04/03/20,0,0
BEN,Benin,04/04/20,3,0
BEN,Benin,04/05/20,0,0
BEN,Benin,04/06/20,6,0
BEN,Benin,04/07/20,4,1
BEN,Benin,04/08/20,0,0
BEN,Benin,04/09/20,0,0
BEN,Benin,04/10/20,4,0
BEN,Benin,04/11/20,5,0
BEN,Benin,04/12/20,0,0
BEN,Benin,04/13/20,0,0
BEN,Benin,04/14/20,0,0
BEN,Benin,04/15/20,0,0
BEN,Benin,04/16/20,0,0
BEN,Benin,04/17/20,2,0
BEN,Benin,04/18/20,0,0
BEN,Benin,04/19/20,0,0
BEN,Benin,04/20/20,0,0
BEN,Benin,04/21/20,17,0
BEN,Benin,04/22/20,0,0
BEN,Benin,04/23/20,0,0
BEN,Benin,04/24/20,4,0
BEN,Benin,04/25/20,0,0
BEN,Benin,04/26/20,0,0
BES,Bonaire Sint Eustatius and Saba,04/02/20,2,0
BES,Bonaire Sint Eustatius and Saba,04/03/20,0,0
BES,Bonaire Sint Eustatius and Saba,04/04/20,0,0
BES,Bonaire Sint Eustatius and Saba,04/05/20,0,0
BES,Bonaire Sint Eustatius and Saba,04/06/20,0,0
BES,Bonaire Sint Eustatius and Saba,04/07/20,0,0
BES,Bonaire Sint Eustatius and Saba,04/08/20,0,0
BES,Bonaire Sint Eustatius and Saba,04/09/20,0,0
BES,Bonaire Sint Eustatius and Saba,04/10/20,0,0
BES,Bonaire Sint Eustatius and Saba,04/11/20,0,0
BES,Bonaire Sint Eustatius and Saba,04/12/20,0,0
BES,Bonaire Sint Eustatius and Saba,04/13/20,1,0
BES,Bonaire Sint Eustatius and Saba,04/14/20,1,0
BES,Bonaire Sint Eustatius and Saba,04/15/20,0,0
BES,Bonaire Sint Eustatius and Saba,04/16/20,0,0
BES,Bonaire Sint Eustatius and Saba,04/17/20,0,0
BES,Bonaire Sint Eustatius and Saba,04/18/20,0,0
BES,Bonaire Sint Eustatius and Saba,04/19/20,0,0
BES,Bonaire Sint Eustatius and Saba,04/20/20,1,0
BES,Bonaire Sint Eustatius and Saba,04/21/20,0,0
BES,Bonaire Sint Eustatius and Saba,04/22/20,1,0
BES,Bonaire Sint Eustatius and Saba,04/23/20,0,0
BES,Bonaire Sint Eustatius and Saba,04/24/20,0,0
BES,Bonaire Sint Eustatius and Saba,04/25/20,0,0
BES,Bonaire Sint Eustatius and Saba,04/26/20,0,0
BFA,Burkina Faso,04/01/20,24,0
BFA,Burkina Faso,04/02/20,15,2
BFA,Burkina Faso,04/03/20,27,2
BFA,Burkina Faso,04/04/20,0,0
BFA,Burkina Faso,04/05/20,14,0
BFA,Burkina Faso,04/06/20,43,1
BFA,Burkina Faso,04/07/20,19,0
BFA,Burkina Faso,04/08/20,20,2
BFA,Burkina Faso,04/09/20,30,4
BFA,Burkina Faso,04/10/20,29,1
BFA,Burkina Faso,04/11/20,5,2
BFA,Burkina Faso,04/12/20,36,1
BFA,Burkina Faso,04/13/20,13,0
BFA,Burkina Faso,04/14/20,18,1
BFA,Burkina Faso,04/15/20,13,2
BFA,Burkina Faso,04/16/20,14,2
BFA,Burkina Faso,04/17/20,1,0
BFA,Burkina Faso,04/18/20,14,3
BFA,Burkina Faso,04/19/20,8,1
