id,state,country,updated,confirmed,suspected,recovered,deaths
115,Shanghai,China,1/24/20,20,0,0,0
116,Hunan,China,1/24/20,24,0,0,0
117,Anhui,China,1/24/20,15,4,0,0
118,Chongqing,China,1/24/20,27,13,0,0
119,Sichuan,China,1/24/20,15,4,0,0
120,Shandong,China,1/24/20,9,0,0,0
121,Guangxi,China,1/24/20,13,0,0,0
122,Fujian,China,1/24/20,5,2,0,0
123,Jiangsu,China,1/24/20,9,0,0,0
124,Henan,China,1/24/20,9,0,0,0
125,Hainan,China,1/24/20,8,32,0,0
126,Tianjin,China,1/24/20,5,0,0,0
127,Jiangxi,China,1/24/20,7,0,0,0
128,Shaanxi,China,1/24/20,3,0,0,0
129,Guizhou,China,1/24/20,3,0,0,0
130,Liaoning,China,1/24/20,4,0,0,0
131,Hong Kong,Hong Kong,1/24/20,2,36,0,0
132,Heilongjiang,China,1/24/20,4,0,0,1
133,Macau,Macau,1/24/20,2,0,0,0
134,Xinjiang,China,1/24/20,2,0,0,0
135,Gansu,China,1/24/20,2,0,0,0
136,Yunnan,China,1/24/20,2,0,0,0
137,Taiwan,Taiwan,1/24/20,1,0,0,0
138,Shanxi,China,1/24/20,1,0,0,0
139,Jilin,China,1/24/20,3,0,0,0
140,Hebei,China,1/24/20,2,0,0,1
141,Ningxia,China,1/24/20,1,0,0,0
142,Inner Mongolia,China,1/24/20,1,2,0,0
143,Washington,United States,1/24/20,1,0,0,0
144,0,Japan,1/24/20,2,0,0,0
145,0,Thailand,1/24/20,4,0,0,0
146,0,South Korea,1/24/20,1,0,0,0
147,0,Singapore,1/24/20,1,0,0,0
148,0,Vietnam,1/24/20,2,0,0,0
149,Hubei,China,1/24/20,549,0,31,24
150,Guangdong,China,1/24/20,53,0,2,0
151,Zhejiang,China,1/24/20,43,0,1,0
152,Beijing,China,1/24/20,36,0,1,0
153,Chongqing,China,1/24/20,27,13,0,0
154,Hunan,China,1/24/20,24,0,0,0
155,Guangxi,China,1/24/20,23,0,0,0
156,Shanghai,China,1/24/20,20,22,1,0
157,Jiangxi,China,1/24/20,18,0,0,0
158,Sichuan,China,1/24/20,15,4,0,0
159,Shandong,China,1/24/20,15,0,0,0
160,Anhui,China,1/24/20,15,4,0,0
161,Fujian,China,1/24/20,10,2,0,0
162,Henan,China,1/24/20,9,42,0,0
163,Jiangsu,China,1/24/20,9,0,0,0
164,Hainan,China,1/24/20,8,32,0,0
165,Tianjin,China,1/24/20,8,0,0,0
166,Yunnan,China,1/24/20,5,0,0,0
167,Shaanxi,China,1/24/20,5,0,0,0
168,Heilongjiang,China,1/24/20,4,0,0,1
169,Liaoning,China,1/24/20,4,0,0,0
170,Guizhou,China,1/24/20,3,0,0,0
171,Jilin,China,1/24/20,3,0,0,0
172,Taiwan,Taiwan,1/24/20,3,0,0,0
173,Ningxia,China,1/24/20,2,1,0,0
174,Hong Kong,Hong Kong,1/24/20,2,36,0,0
175,Macau,Macau,1/24/20,2,0,0,0
176,Hebei,China,1/24/20,2,0,0,1
177,Gansu,China,1/24/20,2,0,0,0
178,Xinjiang,China,1/24/20,2,0,0,0
179,Shanxi,China,1/24/20,1,0,0,0
180,Inner Mongolia,China,1/24/20,1,2,0,0
181,Qinghai,China,1/24/20,0,1,0,0
182,Washington,United States,1/24/20,1,0,0,0
183,Chicago,United States,1/24/20,1,0,0,0
184,0,Japan,1/24/20,2,0,0,0
185,0,Thailand,1/24/20,5,0,0,0
186,0,South Korea,1/24/20,2,0,0,0
187,0,Singapore,1/24/20,3,0,0,0
188,0,Vietnam,1/24/20,2,0,0,0
189,0,France,1/24/20,2,0,0,0
190,Hubei,China,1/25/20,729,0,32,39
191,Guangdong,China,1/25/20,78,0,2,0
192,Zhejiang,China,1/25/20,62,0,1,0
193,Chongqing,China,1/25/20,57,0,0,0
194,Hunan,China,1/25/20,43,0,0,0
195,Anhui,China,1/25/20,39,4,0,0
196,Beijing,China,1/25/20,36,0,1,0
197,Shanghai,China,1/25/20,33,22,1,0
198,Henan,China,1/25/20,32,1,0,0
199,Sichuan,China,1/25/20,28,4,0,0
200,Guangxi,China,1/25/20,23,0,0,0
201,Shandong,China,1/25/20,21,0,0,0
202,Jiangxi,China,1/25/20,18,0,0,0
203,Jiangsu,China,1/25/20,18,0,1,0
204,Hainan,China,1/25/20,17,0,0,0
205,Liaoning,China,1/25/20,15,0,0,0
206,Fujian,China,1/25/20,10,4,0,0
207,Heilongjiang,China,1/25/20,9,0,0,1
208,Tianjin,China,1/25/20,8,0,0,0
209,Hebei,China,1/25/20,8,0,0,1
210,Shanxi,China,1/25/20,6,0,0,0
211,Yunnan,China,1/25/20,5,0,0,0
212,Hong Kong,Hong Kong,1/25/20,5,36,0,0
213,Shaanxi,China,1/25/20,5,0,0,0
214,Guizhou,China,1/25/20,4,0,0,0
215,Jilin,China,1/25/20,4,0,0,0
216,Gansu,China,1/25/20,4,0,0,0
217,Ningxia,China,1/25/20,3,1,0,0
218,Taiwan,Taiwan,1/25/20,3,0,0,0
219,Xinjiang,China,1/25/20,3,0,0,0
220,Macau,Macau,1/25/20,2,0,0,0
221,Inner Mongolia,China,1/25/20,2,0,0,0
222,Qinghai,China,1/25/20,0,1,0,0
223,Washington,United States,1/25/20,1,0,0,0
224,Illinois,United States,1/25/20,1,0,0,0
225,0,Japan,1/25/20,2,0,0,0
226,0,Thailand,1/25/20,5,0,0,0
227,0,South Korea,1/25/20,2,0,0,0
228,0,Singapore,1/25/20,3,0,0,0
229,0,Vietnam,1/25/20,2,0,0,0
230,0,France,1/25/20,3,0,0,0
231,0,Australia,1/25/20,1,0,0,0
232,0,Nepal,1/25/20,1,0,0,0
233,0,Malaysia,1/25/20,3,0,0,0
234,Hubei,China,1/25/20,761,0,32,40
235,Guangdong,China,1/25/20,78,0,2,0
236,Zhejiang,China,1/25/20,62,0,1,0
237,Chongqing,China,1/25/20,57,0,0,0
238,Hunan,China,1/25/20,43,0,0,0
239,Beijing,China,1/25/20,41,0,2,0
240,Anhui,China,1/25/20,39,4,0,0
241,Shanghai,China,1/25/20,33,72,1,0
242,Henan,China,1/25/20,32,1,0,0
243,Sichuan,China,1/25/20,28,4,0,0
244,Shandong,China,1/25/20,27,0,0,0
245,Guangxi,China,1/25/20,23,0,0,0
246,Hainan,China,1/25/20,19,0,0,0
247,Jiangxi,China,1/25/20,18,0,0,0
248,Fujian,China,1/25/20,18,20,0,0
249,Jiangsu,China,1/25/20,18,0,1,0
250,Liaoning,China,1/25/20,17,0,0,0
251,Shaanxi,China,1/25/20,15,0,0,0
252,Yunnan,China,1/25/20,11,58,0,0
253,Tianjin,China,1/25/20,10,0,0,0
254,Heilongjiang,China,1/25/20,9,0,0,1
255,Hebei,China,1/25/20,8,0,0,1
256,Inner Mongolia,China,1/25/20,7,0,0,0
257,Shanxi,China,1/25/20,6,0,0,0
258,Hong Kong,Hong Kong,1/25/20,5,244,0,0
259,Guizhou,China,1/25/20,4,0,0,0
260,Jilin,China,1/25/20,4,0,0,0
261,Gansu,China,1/25/20,4,0,0,0
262,Ningxia,China,1/25/20,3,1,0,0
263,Taiwan,Taiwan,1/25/20,3,0,0,0
264,Xinjiang,China,1/25/20,3,0,0,0
265,Macau,Macau,1/25/20,2,0,0,0
266,Qinghai,China,1/25/20,1,0,0,0
267,Washington,United States,1/25/20,1,0,0,0
268,Illinois,United States,1/25/20,1,0,0,0
269,0,Japan,1/25/20,2,0,0,0
270,0,Thailand,1/25/20,7,0,0,0
271,0,South Korea,1/25/20,2,0,0,0
272,0,Singapore,1/25/20,3,0,0,0
273,0,Vietnam,1/25/20,2,0,0,0
274,0,France,1/25/20,3,0,0,0
275,0,Australia,1/25/20,4,0,0,0
276,0,Nepal,1/25/20,1,0,0,0
277,0,Malaysia,1/25/20,3,0,0,0
278,Hubei,China,1/25/20,1052,0,42,52
279,Zhejiang,China,1/25/20,104,0,1,0
280,Guangdong,China,1/25/20,98,0,2,0
281,Henan,China,1/25/20,83,3,0,1
282,Chongqing,China,1/25/20,75,0,0,0
283,Hunan,China,1/25/20,69,0,0,0
284,Anhui,China,1/25/20,60,4,0,0
285,Beijing,China,1/25/20,51,0,2,0
286,Sichuan,China,1/25/20,44,4,0,0
287,Shanghai,China,1/25/20,40,72,1,1
288,Shandong,China,1/25/20,39,0,0,0
289,Jiangxi,China,1/25/20,36,0,0,0
290,Guangxi,China,1/25/20,33,0,0,0
291,Jiangsu,China,1/25/20,31,0,1,0
292,Hainan,China,1/25/20,19,0,0,0
293,Liaoning,China,1/25/20,19,0,0,0
294,Fujian,China,1/25/20,18,20,0,1
295,Heilongjiang,China,1/25/20,15,0,0,0
296,Shaanxi,China,1/25/20,15,0,0,0
297,Tianjin,China,1/25/20,13,0,0,0
298,Hebei,China,1/25/20,13,0,0,1
299,Yunnan,China,1/25/20,11,58,0,0
300,Shanxi,China,1/25/20,9,0,0,0
301,Inner Mongolia,China,1/25/20,7,0,0,0
302,Gansu,China,1/25/20,7,0,0,0
303,Guizhou,China,1/25/20,5,0,0,0
304,Hong Kong,Hong Kong,1/25/20,5,244,0,0
305,Ningxia,China,1/25/20,4,1,0,0
306,Jilin,China,1/25/20,4,0,0,0
307,Xinjiang,China,1/25/20,4,0,0,0
308,Taiwan,Taiwan,1/25/20,3,0,0,0
309,Macau,Macau,1/25/20,2,0,0,0
310,Qinghai,China,1/25/20,1,0,0,0
311,Washington,United States,1/25/20,1,0,0,0
312,Illinois,United States,1/25/20,1,0,0,0
313,0,Japan,1/25/20,2,0,0,0
314,0,Thailand,1/25/20,7,0,0,0
315,0,South Korea,1/25/20,3,0,0,0
316,0,Singapore,1/25/20,3,0,0,0
317,0,Vietnam,1/25/20,2,0,0,0
318,0,France,1/25/20,3,0,0,0
319,0,Australia,1/25/20,4,0,0,0
320,0,Nepal,1/25/20,1,0,0,0
321,0,Malaysia,1/25/20,3,0,0,0
322,Hubei,China,1/26/20,1058,0,42,52
323,Guangdong,China,1/26/20,111,0,2,0
324,Zhejiang,China,1/26/20,104,0,1,0
325,Henan,China,1/26/20,83,3,0,1
326,Chongqing,China,1/26/20,75,0,0,0
327,Hunan,China,1/26/20,69,0,0,0
328,Beijing,China,1/26/20,68,0,2,0
329,Anhui,China,1/26/20,60,4,0,0
330,Shandong,China,1/26/20,46,0,0,0
331,Sichuan,China,1/26/20,44,4,0,0
332,Shanghai,China,1/26/20,40,72,1,1
333,Guangxi,China,1/26/20,36,0,0,0
334,Jiangxi,China,1/26/20,36,0,0,0
335,Fujian,China,1/26/20,35,20,0,0
336,Jiangsu,China,1/26/20,33,0,1,0
337,Hainan,China,1/26/20,22,0,0,0
338,Shaanxi,China,1/26/20,22,0,0,0
339,Liaoning,China,1/26/20,21,0,0,0
340,Yunnan,China,1/26/20,16,36,0,0
341,Heilongjiang,China,1/26/20,15,0,0,1
342,Tianjin,China,1/26/20,14,0,0,0
343,Hebei,China,1/26/20,13,0,0,1
344,Shanxi,China,1/26/20,9,0,0,0
345,Hong Kong,Hong Kong,1/26/20,8,244,0,0
346,Inner Mongolia,China,1/26/20,7,0,0,0
347,Gansu,China,1/26/20,7,0,0,0
348,Guizhou,China,1/26/20,5,0,0,0
349,Macau,Macau,1/26/20,5,0,0,0
350,Ningxia,China,1/26/20,4,0,0,0
351,Jilin,China,1/26/20,4,0,0,0
352,Taiwan,Taiwan,1/26/20,4,0,0,0
353,Xinjiang,China,1/26/20,4,0,0,0
354,Qinghai,China,1/26/20,1,0,0,0
355,Washington,United States,1/26/20,1,0,0,0
356,Illinois,United States,1/26/20,1,0,0,0
357,California,United States,1/26/20,1,0,0,0
358,0,Japan,1/26/20,4,0,1,0
359,0,Thailand,1/26/20,8,0,2,0
360,0,South Korea,1/26/20,3,0,0,0
361,0,Singapore,1/26/20,4,0,0,0
362,0,Vietnam,1/26/20,2,0,0,0
363,0,France,1/26/20,3,0,0,0
364,0,Australia,1/26/20,4,0,0,0
365,0,Nepal,1/26/20,1,0,0,0
366,0,Malaysia,1/26/20,4,0,0,0
367,Ontario,Canada,1/26/20,1,0,0,0
